"","research","marketing","morale","sales"
"125",2091,4116,4.99,406065
"126",2013,4109,4.84,405034
"127",1931,4020,4.81,387379
"128",1936,4074,4.62,398766
"129",2080,4275,4.82,438575
"130",2253,4257,4.71,434670
"131",2219,4296,4.77,442975
"132",2047,4325,5.11,449342
"133",2049,4376,4.73,459836
"134",2154,4495,4.85,484614
"135",2166,4558,4.85,497945
"136",2089,4578,4.91,503660
"137",2084,4428,4.23,470080
"138",2140,4453,4.86,476189
"139",2156,4440,5,473965
"140",2109,4351,4.91,454300
"141",2332,4378,4.93,459215
"142",2750,4348,4.9,453663
"143",2854,4260,4.82,434656
"144",2742,4277,4.77,438442
"145",2682,4170,4.74,417333
"146",2735,4287,5.31,440983
"147",2688,4213,4.97,426632
"148",2498,4189,4.94,421175
"149",2307,4262,4.95,436327
"150",2204,4299,4.81,443362
"151",2232,4171,5.45,417939
"152",2358,4232,5.33,429030
"153",2378,4263,5.2,436614
"154",2326,4274,4.93,439570
"155",2297,4265,5.15,437169
"156",2162,4189,5.32,420287
"157",1978,4183,5.26,419160
"158",1991,4286,4.89,440035
"159",2149,4270,4.81,437886
"160",2159,4228,4.68,429384
"161",2317,4330,5.3,450525
"162",2403,4216,4.97,427812
"163",2441,4141,5.48,412191
"164",2426,4256,4.79,435211
"165",2481,4308,5.33,445367
"166",2383,4347,5.56,454556
"167",2268,4461,5.23,477419
"168",2245,4438,5.12,472812
"169",2372,4288,5.78,441032
"170",2502,4109,5.32,406652
"171",2569,4114,5.56,407239
"172",2672,4112,5.64,406703
"173",2721,3967,5.28,380339
"174",2796,3874,5.54,360793
"175",2697,3897,5.35,364855
"176",2648,4028,5.46,389794
"177",2570,4142,5.31,411154
"178",2533,4263,5.95,436602
"179",2521,4356,5.5,455416
"180",2515,4483,5.34,481804
"181",2575,4385,5.38,460863
"182",2518,4437,5.58,471685
"183",2382,4589,5.22,506338
"184",2386,4677,4.79,527500
"185",2430,4492,5.72,485150
"186",2340,4531,5.77,493636
"187",2484,4747,5.3,541402
"188",2693,4849,5.34,562988
"189",2750,4983,5.12,596528
"190",2796,5020,5.75,603973
"191",2938,5042,5.91,608294
"192",3079,5010,5.59,602382
"193",3132,4974,5.42,593968
"194",2979,4975,5.31,594110
"195",2879,5039,5.4,610043
"196",2933,5124,5.31,630070
"197",3108,5077,5.3,618463
"198",3219,5021,5.51,604993
"199",3091,5015,5.73,603882
"200",3138,4880,5.59,573626
"201",3311,5022,6.03,606514
"202",3218,5041,5.85,610043
"203",3043,4931,5.95,583403
"204",3134,5048,5.8,609200
"205",3156,4982,5.76,596376
"206",3119,5090,5.64,622170
"207",3111,5096,5.56,624864
"208",3107,5004,5.52,603074
"209",3094,5128,5.74,630268
"210",3217,5345,5.71,686554
"211",3178,5370,5.87,689628
"212",3148,5419,5.42,704855
"213",2955,5501,5.84,726424
"214",2817,5621,5.62,756956
"215",2777,5848,6.01,822264
"216",2646,5772,5.7,799720
"217",2782,5627,5.92,761966
"218",2679,5460,5.76,714555
"219",2713,5360,5.88,689066
"220",2842,5357,5.72,689860
"221",2828,5394,5.46,698841
"222",2803,5457,5.66,713835
"223",2810,5450,5.78,712871
"224",2795,5426,5.85,706774
"225",2824,5391,6.02,698144
"226",2913,5226,5.88,654947
"227",3066,5146,5.77,634055
"228",3230,5070,5.98,615392
"229",3208,4919,5.97,580142
"230",3244,4817,6.19,557286
"231",3094,4914,5.92,580069
"232",2924,4978,6.39,593637
"233",2940,4890,5.69,574938
"234",3058,4984,5.63,597807
"235",3028,5147,5.53,636291
"236",3049,5188,5.45,646188
"237",2998,5197,6.08,648528
"238",2991,5265,5.97,666236
"239",2980,5317,6.16,680987
"240",3045,5366,5.76,689772
"241",3285,5437,6.32,709710
"242",3368,5554,6.11,739829
"243",3194,5550,5.81,737848
"244",3199,5660,6.26,767025
"245",3475,5754,6.31,795501
"246",3610,5681,6.51,774529
"247",3512,5759,6.27,794698
"248",3388,5725,6.33,787044
"249",3387,5743,6.28,791147
"250",3233,5596,6.05,752384
"251",3209,5535,5.98,735082
"252",3212,5689,6.34,777575
"253",3072,5784,5.93,802519
"254",3003,5855,6.2,822638
"255",3185,5926,5.99,842905
"256",3437,5949,6.27,849312
"257",3488,5908,6.63,838189
"258",3471,6057,6.11,880824
"259",3449,6105,6.37,895560
"260",3457,6063,6.4,882324
"261",3434,6156,6.04,909120
"262",3416,6422,6.25,992193
"263",3307,6473,5.97,1004542
"264",3253,6429,6.34,994579
"265",3232,6422,6.11,989192
"266",3252,6370,6.18,974590
"267",3131,6247,6.29,937048
"268",3074,6334,6.45,962506
"269",3168,6462,6.41,1001532
"270",3137,6545,6.41,1027587
"271",3301,6561,6.4,1032933
"272",3478,6547,6.54,1030646
"273",3541,6664,6.32,1064739
"274",3556,6771,6.56,1100963
"275",3573,6813,6.67,1114328
"276",3666,6721,6.39,1085786
"277",3762,6601,6.14,1048750
"278",3816,6409,6.17,985973
"279",3974,6362,6.64,971923
"280",4042,6519,6.67,1019358
"281",3946,6695,6.24,1076030
"282",4137,6737,6.42,1088636
"283",4146,6543,6.55,1028352
"284",4265,6590,6.61,1041591
"285",4218,6628,6.7,1056203
"286",4038,6535,6.34,1022501
"287",3929,6589,6.18,1043017
"288",3900,6545,6.42,1027248
"289",3949,6529,6.56,1018795
"290",4091,6507,6.64,1017522
"291",4100,6624,6.44,1054179
"292",4165,6518,6.21,1019723
"293",4116,6446,6.45,997735
"294",4059,6582,6.27,1040084
"295",4158,6689,6.89,1072464
"296",4236,6860,6.59,1128371
"297",4144,6947,6.4,1160000
"298",4149,6822,6.53,1116802
"299",4097,6884,6.97,1137407
"300",4084,7046,6.41,1190988
"301",3994,7203,6.39,1243800
"302",3826,7212,6.78,1247686
"303",3969,7115,6.64,1212143
"304",4046,6973,6.55,1169400
"305",4073,6964,7.05,1164726
"306",4021,6912,6.88,1145015
"307",3985,6903,6.47,1141997
"308",3926,6901,6.67,1142731
"309",3889,7086,6.86,1203739
"310",3892,7272,6.54,1269170
"311",4056,7344,6.33,1296421
"312",4192,7269,6.6,1267899
"313",4269,7358,6.7,1300267
"314",4282,7415,6.99,1321725
"315",4301,7393,6.71,1314068
"316",4318,7272,6.52,1268998
"317",4304,7361,6.94,1298980
"318",4231,7417,6.74,1319881
"319",4289,7547,6.71,1366134
"320",4353,7628,6.91,1398134
"321",4331,7583,7.03,1378523
"322",4269,7629,7.11,1399158
"323",4254,7605,7.18,1390837
"324",4431,7519,6.98,1355597
"325",4471,7375,6.9,1303377
"326",4425,7332,6.75,1289040
"327",4136,7284,6.61,1272666
"328",4111,7342,6.64,1294453
"329",4405,7598,6.66,1385762
"330",4431,7774,7.16,1448611
"331",4289,7894,7.16,1494669
"332",4389,7893,7.08,1493378
"333",4479,7769,6.81,1447944
"334",4624,7670,7.26,1410942
"335",4601,7717,7.11,1429751
"336",4533,7707,7.08,1426108
"337",4420,7727,6.82,1435054
"338",4386,7611,7.22,1389065
"339",4454,7632,6.6,1400061
"340",4444,7732,6.76,1437798
"341",4219,7811,6.88,1462167
"342",4215,7839,7.22,1474552
"343",4240,7754,7.07,1439682
"344",4152,7707,7.01,1424704
"345",4217,7692,7.1,1421643
"346",4198,7764,6.73,1447811
"347",4248,7928,7.25,1508546
"348",4134,7849,6.89,1476431
"349",4060,7821,7.17,1468308
"350",4090,7790,7.49,1457455
"351",3963,7874,7.19,1487833
"352",3907,7958,7.08,1522214
"353",3893,7879,6.88,1488871
"354",3982,7758,7.31,1445373
"355",4124,7819,6.89,1465934
"356",4135,7921,7.42,1507847
"357",4187,7972,7.48,1519393
"358",4337,8139,7.03,1589650
"359",4585,8159,7.32,1598395
"360",4542,8312,7.6,1657599
"361",4462,8334,7.11,1669753
"362",4191,8354,7.2,1670387
"363",4150,8379,7.02,1683412
"364",4222,8368,7.41,1681616
"365",4218,8348,7.28,1676092
"366",4063,8218,7.46,1623477
"367",4173,8199,6.79,1614006
"368",4194,8425,7.36,1703114
"369",4161,8686,7.1,1811419
"370",4086,8699,7.47,1816086
"371",4045,8886,7.71,1892580
"372",3986,8814,7.47,1864132
"373",3938,8783,7.69,1855498
"374",4038,8814,7.39,1866824
"375",4163,8677,7.52,1805147
"376",4175,8511,7.53,1737928
"377",4227,8587,7.32,1767242
"378",4268,8717,7.44,1824187
"379",4214,8699,7.39,1817915
"380",4074,8630,7.57,1787796
"381",3965,8711,7.47,1819644
"382",4061,8743,7.62,1830966
"383",4359,8716,7.84,1826374
"384",4456,8730,7.62,1827682
"385",4593,8635,8.04,1786688
"386",4773,8545,7.61,1751813
"387",4753,8454,7.25,1716180
"388",4721,8577,7.64,1765031
"389",4628,8502,7.6,1735414
"390",4744,8450,7.68,1717545
"391",5030,8440,7.73,1709640
"392",5120,8564,7.8,1759133
"393",4836,8616,7.51,1782912
"394",4750,8570,8.07,1760252
"395",4848,8536,7.54,1750700
"396",4776,8321,7.67,1660282
"397",4671,8227,8.16,1621646
"398",4710,8260,7.75,1638308
"399",4668,8176,7.73,1599352
"400",4613,8100,7.95,1574339
"401",4650,8171,7.79,1599238
"402",4605,8341,7.52,1671085
"403",4629,8547,7.73,1753234
"404",4603,8743,7.78,1830421
"405",4621,8861,7.82,1884215
"406",4662,8930,7.91,1915484
"407",4719,8914,7.78,1907374
"408",4906,9021,7.84,1950738
"409",4943,9030,8.21,1957275
"410",5090,9000,7.74,1942433
"411",5223,8937,7.68,1919185
"412",5226,8980,7.64,1936690
"413",5275,9033,7.69,1959351
"414",5288,9012,7.89,1952665
"415",5225,8923,7.48,1908579
"416",5471,8953,7.88,1924394
"417",5571,9068,7.8,1975780
"418",5506,9145,7.69,2005569
"419",5447,9219,7.32,2040087
"420",5510,9136,7.95,2004916
"421",5534,9183,7.91,2024399
"422",5707,9350,7.82,2097948
"423",5684,9449,8.07,2143096
"424",5574,9439,8.13,2139879
"425",5579,9313,8.19,2081239
"426",5685,9174,8.03,2019928
"427",5634,9086,7.98,1980486
"428",5353,9048,7.98,1964679
"429",5255,9042,7.95,1960812
"430",5137,8964,7.91,1925068
"431",5016,8965,7.92,1926007
"432",4978,9042,8.2,1966874
"433",5077,9096,7.74,1986635
"434",4954,9094,7.85,1981259
"435",4754,9095,8.18,1987312
"436",4647,9147,8.13,2010775
"437",4732,9186,7.88,2020988
"438",4812,9290,8.43,2069435
"439",4867,9467,8.09,2147541
"440",5040,9679,8.24,2246977
"441",5181,9754,8.24,2286991
"442",5285,9774,7.91,2292963
"443",5192,9715,8.29,2265722
"444",5275,9777,8.31,2295199
"445",5227,9863,7.92,2330188
"446",5115,9686,8.11,2248403
"447",5060,9625,8.07,2224057
"448",4932,9772,7.98,2291668
"449",5001,9886,8.04,2346707
"450",5131,9905,8.33,2354957
"451",5193,10027,8.19,2411931
"452",5157,10109,8.3,2452553
"453",5348,10136,8.78,2467521
"454",5444,10223,7.85,2507228
"455",5442,10206,7.92,2497575
"456",5478,10099,8.26,2449449
"457",5437,10032,8.31,2418328
"458",5464,9930,8.43,2370430
"459",5367,9905,8.29,2352783
"460",5337,9950,8.45,2375602
"461",5349,10035,8.11,2415012
"462",5188,9963,8.52,2378842
"463",5150,9926,8.33,2362663
"464",5165,10083,8.23,2440946
"465",5180,10048,8.52,2425606
"466",5110,10009,8.46,2404017
"467",5346,10046,8.38,2419090
"468",5463,10100,8.31,2446651
"469",5173,10176,8.44,2485194
"470",5157,10240,8.17,2521609
"471",5373,10298,8.44,2544928
"472",5244,10438,8.14,2616886
"473",5247,10685,8.2,2740151
"474",5314,10690,8.46,2743378
"475",5179,10628,8.57,2710457
"476",5119,10524,8.5,2656965
"477",5382,10338,8.3,2562229
"478",5575,10359,8.37,2574726
"479",5550,10460,8.34,2625213
"480",5530,10537,8.06,2663907
"481",5448,10438,8.42,2612533
"482",5452,10338,8.39,2562538
"483",5461,10401,8.83,2589877
"484",5438,10419,8.4,2609416
"485",5402,10418,8.83,2600151
"486",5339,10534,8.58,2663464
"487",5293,10578,8.82,2681384
"488",5285,10475,8.84,2630909
"489",5248,10537,8.41,2667172
"490",5151,10578,8.51,2683721
"491",5010,10538,8.66,2666504
"492",5036,10510,8.55,2654795
"493",5069,10327,8.88,2558475
"494",5156,10150,8.81,2470871
"495",5212,10251,8.5,2523217
"496",5477,10449,8.91,2625991
"497",5589,10687,8.62,2740965
"498",5612,10693,9,2743682
"499",5610,10647,8.78,2718466
"500",5554,10696,8.6,2741952
